Warming up the Java JIT
End Warmup Phase

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
  16	0.0625000000	      0.0173	     0.00656	     62.16%	   11.7482	       167	  1.30e-23
  16	0.1250000000	      0.0192	     0.00891	     53.66%	   10.1065	       192	  1.59e-19
  16	0.2500000000	      0.0227	      0.0138	     39.31%	    9.5443	       170	  1.48e-17
  16	0.5000000000	      0.0288	      0.0192	     33.15%	   10.5416	       191	  9.02e-21
  16	0.6250000000	      0.0280	      0.0172	     38.55%	   13.5716	       181	  2.14e-29
  16	0.7500000000	      0.0239	      0.0153	     35.95%	    9.5451	       140	  6.13e-17
  16	0.8750000000	      0.0213	      0.0127	     40.44%	    8.8276	       190	  6.99e-16

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
  32	0.0312500000	      0.0313	     0.00688	     78.00%	   31.2696	        99	  4.14e-53
  32	0.0625000000	      0.0325	      0.0102	     68.75%	   25.9297	       156	  1.96e-58
  32	0.1250000000	      0.0363	      0.0147	     59.48%	   26.2314	       147	  2.57e-57
  32	0.2500000000	      0.0430	      0.0231	     46.18%	   18.6903	       191	  5.30e-45
  32	0.5000000000	      0.0553	      0.0406	     26.55%	   13.3831	       197	  1.78e-29
  32	0.6250000000	      0.0527	      0.0391	     25.82%	   12.2042	       196	  7.53e-26
  32	0.7500000000	      0.0455	      0.0250	     45.02%	   22.9736	       159	  2.19e-52
  32	0.8750000000	      0.0403	      0.0191	     52.71%	   20.5122	       195	  1.41e-50

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
  64	0.0156250000	      0.0594	     0.00656	     88.95%	   52.9369	       189	 2.72e-115
  64	0.0312500000	      0.0617	     0.00859	     86.08%	   62.2853	       135	 2.49e-101
  64	0.0625000000	      0.0636	      0.0159	     74.94%	  104.2739	       153	 4.96e-144
  64	0.1250000000	      0.0692	      0.0266	     61.63%	   37.1332	       194	  4.20e-90
  64	0.2500000000	      0.0836	      0.0475	     43.18%	   41.5566	       159	  2.67e-87
  64	0.5000000000	       0.109	      0.0609	     43.88%	   81.8401	       180	 2.42e-144
  64	0.6250000000	       0.103	      0.0541	     47.26%	   43.8495	       197	 1.38e-103
  64	0.7500000000	      0.0903	      0.0472	     47.75%	   62.8033	       121	  3.35e-94
  64	0.8750000000	      0.0778	      0.0319	     59.04%	   85.1577	       197	 2.31e-157

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
 128	0.0078125000	       0.114	     0.00719	     93.72%	   99.9882	       197	 8.68e-171
 128	0.0156250000	       0.116	     0.00984	     91.51%	   97.8509	       197	 5.64e-169
 128	0.0312500000	       0.119	      0.0164	     86.22%	  122.8607	       137	 4.81e-142
 128	0.0625000000	       0.125	      0.0294	     76.50%	  187.3860	        99	 4.23e-128
 128	0.1250000000	       0.137	      0.0548	     60.02%	   77.1867	       185	 1.16e-142
 128	0.2500000000	       0.164	      0.0761	     53.71%	   93.3453	       173	 6.50e-150
 128	0.5000000000	       0.215	       0.105	     51.24%	  112.5701	       197	 9.38e-181
 128	0.6250000000	       0.203	      0.0861	     57.68%	  138.8779	       113	 4.11e-128
 128	0.7500000000	       0.179	      0.0717	     59.88%	   92.0448	       197	 7.46e-164
 128	0.8750000000	       0.154	      0.0636	     58.60%	  120.5019	       167	 2.81e-164

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
 256	0.0039062500	       0.225	     0.00734	     96.74%	  194.2527	       197	 5.36e-227
 256	0.0078125000	       0.227	      0.0100	     95.59%	  199.3363	       197	 3.39e-229
 256	0.0156250000	       0.230	      0.0156	     93.21%	  293.1961	       118	 8.84e-171
 256	0.0312500000	       0.235	      0.0313	     86.68%	 1301.0000	        99	 2.36e-211
 256	0.0625000000	       0.248	      0.0648	     73.85%	  205.9508	       182	 1.46e-217
 256	0.1250000000	       0.272	      0.0905	     66.76%	  180.8299	       191	 1.66e-215
 256	0.2500000000	       0.327	       0.133	     59.16%	  192.1483	       157	 3.21e-188
 256	0.5000000000	       0.428	       0.196	     54.13%	  204.0941	       197	 3.32e-231
 256	0.6250000000	       0.404	       0.153	     62.26%	  281.9530	       185	 1.28e-245
 256	0.7500000000	       0.352	       0.126	     64.10%	  226.0280	       177	 8.02e-220
