Warming up the Java JIT
End Warmup Phase

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
  16	0.0625000000	      0.0166	     0.00828	     50.00%	    9.5409	       141	  5.95e-17
  16	0.1250000000	      0.0181	      0.0106	     41.38%	    8.0498	       187	  9.38e-14
  16	0.2500000000	      0.0216	      0.0156	     27.54%	    7.7896	        98	  7.11e-12

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
  32	0.0312500000	      0.0295	     0.00828	     71.96%	   22.9716	       166	  2.00e-53
  32	0.0625000000	      0.0313	      0.0106	     66.00%	   28.1554	        99	  4.74e-49
  32	0.1250000000	      0.0333	      0.0172	     48.36%	   22.7405	       195	  9.52e-57
  32	0.2500000000	      0.0400	      0.0252	     37.11%	   13.5826	       197	  4.35e-30

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
  64	0.0156250000	      0.0564	     0.00813	     85.60%	   44.0341	       197	 6.52e-104
  64	0.0312500000	      0.0573	      0.0116	     79.84%	   45.3364	       197	 3.49e-106
  64	0.0625000000	      0.0627	      0.0156	     75.06%	  301.0000	        99	 1.93e-148
  64	0.1250000000	      0.0644	      0.0295	     54.13%	   49.1859	       197	 1.36e-112
  64	0.2500000000	      0.0798	      0.0481	     39.73%	   41.9796	       193	  5.44e-99

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
 128	0.0078125000	       0.111	     0.00922	     91.67%	  108.3035	       175	 2.65e-162
 128	0.0156250000	       0.115	      0.0109	     90.45%	   84.3869	       186	 3.22e-150
 128	0.0312500000	       0.115	      0.0198	     82.79%	   88.4232	       192	 1.62e-157
 128	0.0625000000	       0.121	      0.0317	     73.74%	  109.9230	       122	 7.06e-124
 128	0.1250000000	       0.134	      0.0539	     59.88%	   71.9295	       197	 2.28e-143
 128	0.2500000000	       0.157	      0.0758	     51.84%	   99.4776	       196	 1.03e-169

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
 256	0.0039062500	       0.215	     0.00906	     95.79%	  180.6290	       196	 6.49e-220
 256	0.0078125000	       0.217	      0.0122	     94.38%	  251.2702	       184	 2.46e-235
 256	0.0156250000	       0.220	      0.0183	     91.70%	  256.7395	       183	 5.47e-236
 256	0.0312500000	       0.225	      0.0334	     85.17%	  202.2674	       177	 2.57e-211
 256	0.0625000000	       0.237	      0.0675	     71.50%	  172.2677	       180	 9.92e-202
 256	0.1250000000	       0.261	      0.0902	     65.51%	  161.8097	       197	 1.85e-211
 256	0.2500000000	       0.313	       0.130	     58.55%	  220.2032	       137	 1.41e-176

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
 512	0.0019531250	       0.429	     0.00938	     97.82%	  382.4158	       197	 8.75e-285
 512	0.0039062500	       0.431	      0.0114	     97.36%	  405.5106	       196	 1.50e-288
 512	0.0078125000	       0.434	      0.0183	     95.79%	  455.1059	       197	 1.18e-299
 512	0.0156250000	       0.439	      0.0333	     92.42%	  547.0660	       190	 9.77e-306
 512	0.0312500000	       0.452	      0.0719	     84.09%	  432.1088	       154	 2.18e-239
 512	0.0625000000	       0.473	       0.119	     74.77%	  319.5923	       195	 3.61e-267
 512	0.1250000000	       0.520	       0.159	     69.45%	  316.6698	       184	 8.87e-254
 512	0.2500000000	       0.624	       0.241	     61.30%	  384.4370	       141	 7.20e-215

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
1024	0.0009765625	       0.856	     0.00969	     98.87%	  838.6849	       194	      0.00
1024	0.0019531250	       0.858	      0.0122	     98.58%	  949.5490	       197	      0.00
1024	0.0039062500	       0.860	      0.0197	     97.71%	 1110.5366	       138	 1.57e-274
1024	0.0078125000	       0.865	      0.0341	     96.06%	  855.0992	       188	      0.00
1024	0.0156250000	       0.878	      0.0736	     91.61%	  830.1180	       196	      0.00
1024	0.0312500000	       0.899	       0.156	     82.59%	  747.4632	       186	      0.00
1024	0.0625000000	       0.945	       0.218	     76.94%	  651.9162	       197	      0.00
1024	0.1250000000	        1.04	       0.304	     70.69%	  617.2905	       193	 5.36e-320
1024	0.2500000000	        1.25	       0.466	     62.60%	  790.9944	       186	      0.00

Interpreting Above Results:
1) Negative t value implies simple version is faster.
2) Positive t value implies optimized version is faster.
3) The p column is, well, the p value.

Output to ensure can't optimize away anything: 202286269
